id,question,pred,answer,answer_type,image
61,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
62,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
63,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
64,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
65,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
66,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
67,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
68,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
69,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
70,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
71,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
72,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
73,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
74,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
75,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
76,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
77,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
78,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
79,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
80,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
82,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
83,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
84,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
85,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
86,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
87,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
88,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
89,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
90,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
91,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
92,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
93,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
94,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
95,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
96,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
97,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
98,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
99,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
100,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
101,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
102,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
104,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
105,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
106,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
107,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
108,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
109,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
110,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
112,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
113,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
114,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
115,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
116,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
117,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
118,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
119,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
120,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
121,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
122,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
123,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
124,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
125,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
127,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
128,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
129,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
130,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
131,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
132,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
133,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
134,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
135,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
136,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
137,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
138,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
139,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
140,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
142,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
143,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
144,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
146,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
147,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
148,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
149,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
150,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
151,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
152,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
153,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
154,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
155,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
156,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
157,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
158,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
159,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
160,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
161,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
162,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
163,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
164,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
165,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
166,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
167,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
168,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
169,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
170,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
171,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
172,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
173,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
174,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
175,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
176,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
177,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
178,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
179,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
180,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
181,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
182,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
183,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
184,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
185,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
186,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
187,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
188,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
189,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
190,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
191,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
192,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
193,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
194,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
195,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
196,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
197,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
198,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
199,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
